DATE,y_true,y_pred,abs_error
2020-04-02,15033.002,28020.074184433077,12987.072184433076
2020-04-01,15233.961,28155.77219354711,12921.81119354711
2020-03-31,15261.948,27853.525529574603,12591.577529574603
2020-03-21,16171.165,28382.241123981796,12211.076123981795
2020-03-30,15795.255,27998.188820199623,12202.933820199623
2020-03-23,15761.530999999999,27896.063868469497,12134.532868469498
2020-03-22,15954.193,27995.759847315938,12041.566847315939
2020-04-03,15002.546,26943.128484755012,11940.582484755012
2020-03-16,17925.254,29792.92823567252,11867.674235672519
2020-04-21,13565.971000000001,25417.686788226812,11851.715788226811
