DATE,ENERGY,pred,abs_error
2020-06-29 08:00:00,323.839,157.7232520114866,166.1157479885134
2020-08-17 08:00:00,316.267,160.27242593479326,155.99457406520673
2020-09-07 08:00:00,298.736,150.92584365787087,147.81015634212912
2020-09-14 08:00:00,326.549,180.87355685444106,145.67544314555892
2020-08-21 08:00:00,286.213,151.45440537119362,134.7585946288064
2020-01-02 13:00:00,279.163,147.1956000915476,131.96739990845242
2020-07-15 08:00:00,307.074,175.39924110285313,131.6747588971469
2020-07-27 08:00:00,341.477,209.87867666211295,131.59832333788702
2020-06-24 08:00:00,292.051,161.04041666562256,131.01058333437743
2020-01-02 12:00:00,142.787,268.45103412845225,125.66403412845224
